SL NO,Date,TRADING CODE,Close,YCP*
214,6/16/2019,ACI,265.5,262.6
215,6/13/2019,ACI,262.6,261.6
216,6/12/2019,ACI,261.6,263.7
217,6/11/2019,ACI,263.7,254.9
218,6/10/2019,ACI,254.9,253
219,6/9/2019,ACI,253,250.5
220,5/30/2019,ACI,250.5,246
221,5/29/2019,ACI,246,247.5
222,5/28/2019,ACI,247.5,243.3
223,5/27/2019,ACI,243.3,240.9
224,5/26/2019,ACI,240.9,248.6
225,5/23/2019,ACI,248.6,251.6
226,5/22/2019,ACI,251.6,253.4
227,5/21/2019,ACI,253.4,255.1
228,5/20/2019,ACI,255.1,255
229,5/19/2019,ACI,255,253.2
230,5/16/2019,ACI,253.2,252.6
231,5/15/2019,ACI,252.6,254.1
232,5/14/2019,ACI,254.1,256.1
233,5/13/2019,ACI,256.1,256.5
234,5/12/2019,ACI,256.5,256.2
235,5/9/2019,ACI,256.2,257.6
236,5/8/2019,ACI,257.6,260.1
237,5/7/2019,ACI,260.1,260.6
238,5/6/2019,ACI,260.6,262.8
239,5/5/2019,ACI,262.8,266
240,5/2/2019,ACI,266,245.6
241,4/30/2019,ACI,245.6,258.2
242,4/29/2019,ACI,258.2,277.5
243,4/28/2019,ACI,277.5,304.1
244,4/25/2019,ACI,304.1,299.4
245,4/24/2019,ACI,299.4,307.2
246,4/23/2019,ACI,307.2,311.8
247,4/21/2019,ACI,311.8,312.8
248,4/18/2019,ACI,312.8,309.5
249,4/17/2019,ACI,309.5,309.9
250,4/16/2019,ACI,309.9,312.6
251,4/15/2019,ACI,312.6,314.6
252,4/11/2019,ACI,314.6,309.9
253,4/10/2019,ACI,309.9,324.8
254,4/9/2019,ACI,324.8,333
255,4/8/2019,ACI,333,319.4
256,4/7/2019,ACI,319.4,312
257,4/4/2019,ACI,312,310
258,4/3/2019,ACI,310,309.1
259,4/2/2019,ACI,309.1,307.2
260,4/1/2019,ACI,307.2,305.3
261,3/31/2019,ACI,305.3,304.6
262,3/28/2019,ACI,304.6,301.8
263,3/27/2019,ACI,301.8,300.3
264,3/25/2019,ACI,300.3,299.6
265,3/24/2019,ACI,299.6,301.5
266,3/21/2019,ACI,301.5,302.9
267,3/20/2019,ACI,302.9,300.5
268,3/19/2019,ACI,300.5,304.7
269,3/18/2019,ACI,304.7,305.5
270,3/14/2019,ACI,305.5,305.5
271,3/13/2019,ACI,305.5,305
272,3/12/2019,ACI,305,307.4
273,3/11/2019,ACI,307.4,308.6
274,3/10/2019,ACI,308.6,307.6
275,3/7/2019,ACI,307.6,305.3
276,3/6/2019,ACI,305.3,304.7
277,3/5/2019,ACI,304.7,305
278,3/4/2019,ACI,305,304.5
279,3/3/2019,ACI,304.5,305.3
280,2/27/2019,ACI,305.3,310.3
281,2/26/2019,ACI,310.3,304.2
282,2/25/2019,ACI,304.2,300.8
283,2/24/2019,ACI,300.8,302.4
284,2/20/2019,ACI,302.4,303.7
285,2/19/2019,ACI,303.7,301.9
286,2/18/2019,ACI,301.9,305.3
287,2/17/2019,ACI,305.3,305.7
288,2/14/2019,ACI,305.7,307.9
289,2/13/2019,ACI,307.9,308.9
290,2/12/2019,ACI,308.9,309.8
291,2/11/2019,ACI,309.8,314.6
292,2/10/2019,ACI,314.6,305
293,2/7/2019,ACI,305,301.3
294,2/6/2019,ACI,301.3,304.4
295,2/5/2019,ACI,304.4,310.9
296,2/4/2019,ACI,310.9,302.6
297,2/3/2019,ACI,302.6,299.3
298,1/31/2019,ACI,299.3,303.7
299,1/30/2019,ACI,303.7,315
300,1/29/2019,ACI,315,338.5
301,1/28/2019,ACI,338.5,335.8
302,1/27/2019,ACI,335.8,338
303,1/24/2019,ACI,338,340.6
304,1/23/2019,ACI,340.6,346.2
305,1/22/2019,ACI,346.2,349.1
306,1/21/2019,ACI,349.1,350
307,1/20/2019,ACI,350,351.5
308,1/17/2019,ACI,351.5,350.3
309,1/16/2019,ACI,350.3,351.9
310,1/15/2019,ACI,351.9,350.5
311,1/14/2019,ACI,350.5,352.6
312,1/13/2019,ACI,352.6,357
313,1/10/2019,ACI,357,358.3
314,1/9/2019,ACI,358.3,344.8
315,1/8/2019,ACI,344.8,343.6
316,1/7/2019,ACI,343.6,346.2
317,1/6/2019,ACI,346.2,328.4
318,1/3/2019,ACI,328.4,325.7
319,1/2/2019,ACI,325.7,327.6
320,1/1/2019,ACI,327.6,326.2
321,12/27/2018,ACI,326.2,326.9
322,12/26/2018,ACI,326.9,327.9
323,12/24/2018,ACI,327.9,323.7
324,12/23/2018,ACI,323.7,324.7
325,12/20/2018,ACI,324.7,320.1
326,12/19/2018,ACI,320.1,317.9
327,12/18/2018,ACI,317.9,318.9
328,12/17/2018,ACI,318.9,323.2
329,12/13/2018,ACI,323.2,324.6
330,12/12/2018,ACI,324.6,327.2
331,12/11/2018,ACI,327.2,325.7
332,12/10/2018,ACI,325.7,325.6
333,12/9/2018,ACI,325.6,324.9
334,12/6/2018,ACI,324.9,326.3
335,12/5/2018,ACI,326.3,324.3
336,12/4/2018,ACI,324.3,324.2
337,12/3/2018,ACI,324.2,321.8
338,12/2/2018,ACI,321.8,325.2
339,11/29/2018,ACI,325.2,330.2
340,11/28/2018,ACI,330.2,331.6
341,11/27/2018,ACI,331.6,331.9
342,11/26/2018,ACI,331.9,334.3
343,11/25/2018,ACI,334.3,335.9
344,11/22/2018,ACI,335.9,335.7
345,11/20/2018,ACI,335.7,332.7
346,11/19/2018,ACI,332.7,336.9
347,11/18/2018,ACI,336.9,356.7
348,11/15/2018,ACI,356.7,356.7
349,11/14/2018,ACI,356.7,350.9
350,11/13/2018,ACI,350.9,353
351,11/12/2018,ACI,353,357.4
352,11/11/2018,ACI,357.4,360.4
353,11/8/2018,ACI,360.4,353.2
354,11/7/2018,ACI,353.2,351.6
355,11/6/2018,ACI,351.6,351.4
356,11/5/2018,ACI,351.4,351.8
357,11/4/2018,ACI,351.8,350.2
358,11/1/2018,ACI,350.2,349.6
359,10/31/2018,ACI,349.6,348.6
360,10/30/2018,ACI,348.6,349.5
361,10/29/2018,ACI,349.5,344.5
362,10/28/2018,ACI,344.5,347.7
363,10/25/2018,ACI,347.7,348.5
364,10/24/2018,ACI,348.5,343.4
365,10/23/2018,ACI,343.4,343.8
366,10/22/2018,ACI,343.8,346.1
367,10/21/2018,ACI,346.1,348.2
368,10/18/2018,ACI,348.2,345.4
369,10/17/2018,ACI,345.4,351.2
370,10/16/2018,ACI,351.2,353.8
371,10/15/2018,ACI,353.8,357.8
372,10/14/2018,ACI,357.8,364
373,10/11/2018,ACI,364,371.2
374,10/10/2018,ACI,371.2,374.8
375,10/9/2018,ACI,374.8,344.7
376,10/8/2018,ACI,344.7,341.9
377,10/7/2018,ACI,341.9,346.2
378,10/4/2018,ACI,346.2,347.7
379,10/3/2018,ACI,347.7,347.6
380,10/2/2018,ACI,347.6,345.3
381,10/1/2018,ACI,345.3,340
382,9/30/2018,ACI,340,347.2
383,9/27/2018,ACI,347.2,349.8
384,9/26/2018,ACI,349.8,345.2
385,9/25/2018,ACI,345.2,346
386,9/24/2018,ACI,346,352.8
387,9/23/2018,ACI,352.8,360.6
388,9/20/2018,ACI,360.6,357.2
389,9/19/2018,ACI,357.2,361
390,9/18/2018,ACI,361,361.3
391,9/17/2018,ACI,361.3,366.1
392,9/16/2018,ACI,366.1,369.6
393,9/13/2018,ACI,369.6,366.3
394,9/12/2018,ACI,366.3,368.2
395,9/11/2018,ACI,368.2,365.9
396,9/10/2018,ACI,365.9,371.5
397,9/9/2018,ACI,371.5,375.1
398,9/6/2018,ACI,375.1,368.9
399,9/5/2018,ACI,368.9,364.4
400,9/4/2018,ACI,364.4,363.2
401,9/3/2018,ACI,363.2,366.5
402,8/30/2018,ACI,366.5,369.4
403,8/29/2018,ACI,369.4,366.9
404,8/28/2018,ACI,366.9,367.2
405,8/27/2018,ACI,367.2,363.6
406,8/26/2018,ACI,363.6,364.3
407,8/20/2018,ACI,364.3,360.4
408,8/19/2018,ACI,360.4,363
409,8/16/2018,ACI,363,362.5
410,8/14/2018,ACI,362.5,364.5
411,8/13/2018,ACI,364.5,364
412,8/12/2018,ACI,364,365
413,8/9/2018,ACI,365,369.1
414,8/8/2018,ACI,369.1,373
415,8/7/2018,ACI,373,373.8
416,8/6/2018,ACI,373.8,370.6
417,8/5/2018,ACI,370.6,361.8
418,8/2/2018,ACI,361.8,361.4
419,8/1/2018,ACI,361.4,363
420,7/31/2018,ACI,363,363.3
421,7/30/2018,ACI,363.3,371
422,7/29/2018,ACI,371,377.6
423,7/26/2018,ACI,377.6,369
424,7/25/2018,ACI,369,373.1
